,OPC,FA,GGBFS,SF,MK,BA,CKD,NP,POFA,RHA,VA,Zeolite,Pumice,Coarse aggregate,Fine aggregate,Water,Superplasticizer,water -eff,w/b (eff),w/b (total),b/CA,b/FA,Slump flow (mm),SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,Specific surface area (m2/kg),Al2O3_BA,Al2O3_CKD,Al2O3_FA,Al2O3_GGBFS,Al2O3_MK,Al2O3_NP,Al2O3_OPC,Al2O3_POFA,Al2O3_Pumice,Al2O3_RHA,Al2O3_SF,Al2O3_VA,Al2O3_Zeolite,CaO_BA,CaO_CKD,CaO_FA,CaO_GGBFS,CaO_MK,CaO_NP,CaO_OPC,CaO_POFA,CaO_Pumice,CaO_RHA,CaO_SF,CaO_VA,CaO_Zeolite,Fe2O3_BA,Fe2O3_CKD,Fe2O3_FA,Fe2O3_GGBFS,Fe2O3_MK,Fe2O3_NP,Fe2O3_OPC,Fe2O3_POFA,Fe2O3_Pumice,Fe2O3_RHA,Fe2O3_SF,Fe2O3_VA,Fe2O3_Zeolite,K2O_BA,K2O_CKD,K2O_FA,K2O_GGBFS,K2O_MK,K2O_NP,K2O_OPC,K2O_POFA,K2O_RHA,K2O_SF,K2O_VA,MgO_BA,MgO_CKD,MgO_FA,MgO_GGBFS,MgO_MK,MgO_NP,MgO_OPC,MgO_POFA,MgO_Pumice,MgO_RHA,MgO_SF,MgO_VA,MgO_Zeolite,Na2O_BA,Na2O_CKD,Na2O_FA,Na2O_GGBFS,Na2O_MK,Na2O_NP,Na2O_OPC,Na2O_POFA,Na2O_RHA,Na2O_SF,Na2O_VA,P2O5_GGBFS,P2O5_OPC,P2O5_POFA,SO3_BA,SO3_CKD,SO3_FA,SO3_GGBFS,SO3_MK,SO3_NP,SO3_OPC,SO3_POFA,SO3_RHA,SO3_SF,SO3_VA,SiO2_BA,SiO2_CKD,SiO2_FA,SiO2_GGBFS,SiO2_MK,SiO2_NP,SiO2_OPC,SiO2_POFA,SiO2_Pumice,SiO2_RHA,SiO2_SF,SiO2_VA,SiO2_Zeolite,Specific surface area (m2/kg)_BA,Specific surface area (m2/kg)_FA,Specific surface area (m2/kg)_GGBFS,Specific surface area (m2/kg)_MK,Specific surface area (m2/kg)_NP,Specific surface area (m2/kg)_OPC,Specific surface area (m2/kg)_POFA,Specific surface area (m2/kg)_Pumice,Specific surface area (m2/kg)_RHA,Specific surface area (m2/kg)_SF,Specific surface area (m2/kg)_VA,Specific surface area (m2/kg)_Zeolite,TiO2_FA,TiO2_GGBFS,TiO2_MK,TiO2_OPC,TiO2_POFA,TiO2_SF,28-d
0,144,0,0,0,0,0,0,0,336,0,0,0,0,758.2,925,168,6.24,172.056,0.35,0.35845,0.633078343,0.518918919,740,25725.12,1889.28,2098.56,11393.28,1932,64.8,2374.56,739.68,0,0,263318.7692,0,0,0,0,0,0,578.88,1310.4,0,0,0,0,0,0,0,0,0,0,0,9709.92,1683.36,0,0,0,0,0,0,0,0,0,0,0,643.68,1454.88,0,0,0,0,0,0,0,0,0,0,0,56.16,2318.4,0,0,0,0,0,0,0,0,0,191.52,1740.48,0,0,0,0,0,0,0,0,0,0,0,4.32,60.48,0,0,0,0,0,0,0,0,0,0,0,0,601.92,137.76,0,0,0,0,0,0,0,0,0,2534.4,23190.72,0,0,0,0,0,0,0,0,0,0,53066.76923,210252,0,0,0,0,0,0,0,0,0,0,0,52.4
1,192,0,0,0,0,0,0,0,288,0,0,0,0,758.2,925,168,6.24,172.056,0.35,0.35845,0.633078343,0.518918919,730,23256.96,1895.04,2105.28,14389.44,1747.2,57.6,2062.08,920.64,0,0,250971.6923,0,0,0,0,0,0,771.84,1123.2,0,0,0,0,0,0,0,0,0,0,0,12946.56,1442.88,0,0,0,0,0,0,0,0,0,0,0,858.24,1247.04,0,0,0,0,0,0,0,0,0,0,0,74.88,1987.2,0,0,0,0,0,0,0,0,0,255.36,1491.84,0,0,0,0,0,0,0,0,0,0,0,5.76,51.84,0,0,0,0,0,0,0,0,0,0,0,0,802.56,118.08,0,0,0,0,0,0,0,0,0,3379.2,19877.76,0,0,0,0,0,0,0,0,0,0,70755.69231,180216,0,0,0,0,0,0,0,0,0,0,0,54.4
2,240,0,0,0,0,0,0,0,240,0,0,0,0,758.2,925,168,6.24,172.056,0.35,0.35845,0.633078343,0.518918919,730,20788.8,1900.8,2112,17385.6,1562.4,50.4,1749.6,1101.6,0,0,238624.6154,0,0,0,0,0,0,964.8,936,0,0,0,0,0,0,0,0,0,0,0,16183.2,1202.4,0,0,0,0,0,0,0,0,0,0,0,1072.8,1039.2,0,0,0,0,0,0,0,0,0,0,0,93.6,1656,0,0,0,0,0,0,0,0,0,319.2,1243.2,0,0,0,0,0,0,0,0,0,0,0,7.2,43.2,0,0,0,0,0,0,0,0,0,0,0,0,1003.2,98.4,0,0,0,0,0,0,0,0,0,4224,16564.8,0,0,0,0,0,0,0,0,0,0,88444.61538,150180,0,0,0,0,0,0,0,0,0,0,0,55.2
3,480,0,0,0,0,0,0,0,0,0,0,0,0,758.2,925,168,6.24,172.056,0.35,0.35845,0.633078343,0.518918919,700,8448,1929.6,2145.6,32366.4,638.4,14.4,187.2,2006.4,0,0,176889.2308,0,0,0,0,0,0,1929.6,0,0,0,0,0,0,0,0,0,0,0,0,32366.4,0,0,0,0,0,0,0,0,0,0,0,0,2145.6,0,0,0,0,0,0,0,0,0,0,0,0,187.2,0,0,0,0,0,0,0,0,0,0,638.4,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.4,0,0,0,0,0,0,0,0,0,0,8448,0,0,0,0,0,0,0,0,0,0,0,176889.2308,0,0,0,0,0,0,0,0,0,0,0,0,53.68
4,308.8,0,0,0,0,0,0,0,132.4,0,0,0,0,884,882.1,176.5,9.8826,182.92369,0.400045331,0.414604918,0.499095023,0.500170049,645,12938.308,1483.304,2686.012,22816.188,1010.868,0,1168.156,1255.072,0,0,210998.8,0,0,0,0,0,0,1062.272,421.032,0,0,0,0,0,0,0,0,0,0,0,22168.752,647.436,0,0,0,0,0,0,0,0,0,0,0,889.344,1796.668,0,0,0,0,0,0,0,0,0,0,0,123.52,1044.636,0,0,0,0,0,0,0,0,0,524.96,485.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207.408,47.664,0,0,0,0,0,0,0,0,0,4693.76,8244.548,0,0,0,0,0,0,0,0,0,0,108388.8,102610,0,0,0,0,0,0,0,0,0,0,0,52.3
5,352.9,0,0,0,0,0,0,0,88.2,0,0,0,0,890,888.2,176.5,8.4708,182.00602,0.400136024,0.412618499,0.495617978,0.496622382,630,10856.294,1494.452,2213.226,25765.989,923.624,0,837.058,1411.591,0,0,192222.9,0,0,0,0,0,0,1213.976,280.476,0,0,0,0,0,0,0,0,0,0,0,25334.691,431.298,0,0,0,0,0,0,0,0,0,0,0,1016.352,1196.874,0,0,0,0,0,0,0,0,0,0,0,141.16,695.898,0,0,0,0,0,0,0,0,0,599.93,323.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379.839,31.752,0,0,0,0,0,0,0,0,0,5364.08,5492.214,0,0,0,0,0,0,0,0,0,0,123867.9,68355,0,0,0,0,0,0,0,0,0,0,0,58.2
6,352.9,0,0,0,0,0,0,0,153.3,0,0,0,0,853,851.9,176.5,11.117925,183.7266513,0.348676412,0.362952689,0.593434936,0.594201197,675,14910.071,1701.47,3096.633,26084.328,1162.541,0,1350.697,1435.027,0,0,242675.4,0,0,0,0,0,0,1213.976,487.494,0,0,0,0,0,0,0,0,0,0,0,25334.691,749.637,0,0,0,0,0,0,0,0,0,0,0,1016.352,2080.281,0,0,0,0,0,0,0,0,0,0,0,141.16,1209.537,0,0,0,0,0,0,0,0,0,599.93,562.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379.839,55.188,0,0,0,0,0,0,0,0,0,5364.08,9545.991,0,0,0,0,0,0,0,0,0,0,123867.9,118807.5,0,0,0,0,0,0,0,0,0,0,0,57.7
7,397.1,0,0,0,0,0,0,0,44.1,0,0,0,0,895,894.9,176.5,7.41195,181.3177675,0.400045331,0.410965022,0.492960894,0.493015979,620,8782.027,1506.262,1742.085,28723.458,836.917,0,506.789,1568.537,0,0,173559.6,0,0,0,0,0,0,1366.024,140.238,0,0,0,0,0,0,0,0,0,0,0,28507.809,215.649,0,0,0,0,0,0,0,0,0,0,0,1143.648,598.437,0,0,0,0,0,0,0,0,0,0,0,158.84,347.949,0,0,0,0,0,0,0,0,0,675.07,161.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552.661,15.876,0,0,0,0,0,0,0,0,0,6035.92,2746.107,0,0,0,0,0,0,0,0,0,0,139382.1,34177.5,0,0,0,0,0,0,0,0,0,0,0,57.9
8,403.4,0,0,0,0,0,0,0,100.8,0,0,0,0,860,858.5,176.5,8.647275,182.1207288,0.3500595,0.361207316,0.58627907,0.587303436,665,12408.496,1708.24,2529.648,29452.998,1055.716,0,956.672,1613.582,0,0,219713.4,0,0,0,0,0,0,1387.696,320.544,0,0,0,0,0,0,0,0,0,0,0,28960.086,492.912,0,0,0,0,0,0,0,0,0,0,0,1161.792,1367.856,0,0,0,0,0,0,0,0,0,0,0,161.36,795.312,0,0,0,0,0,0,0,0,0,685.78,369.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577.294,36.288,0,0,0,0,0,0,0,0,0,6131.68,6276.816,0,0,0,0,0,0,0,0,0,0,141593.4,78120,0,0,0,0,0,0,0,0,0,0,0,64.2
9,411.8,0,0,0,0,0,0,0,176.5,0,0,0,0,811,809.9,176.5,13.588575,185.3325738,0.300016998,0.315030722,0.72540074,0.726385974,700,17250.015,1977.862,3581.089,30426.207,1347.815,0,1557.305,1673.678,0,0,281329.3,0,0,0,0,0,0,1416.592,561.27,0,0,0,0,0,0,0,0,0,0,0,29563.122,863.085,0,0,0,0,0,0,0,0,0,0,0,1185.984,2395.105,0,0,0,0,0,0,0,0,0,0,0,164.72,1392.585,0,0,0,0,0,0,0,0,0,700.06,647.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.138,63.54,0,0,0,0,0,0,0,0,0,6259.36,10990.655,0,0,0,0,0,0,0,0,0,0,144541.8,136787.5,0,0,0,0,0,0,0,0,0,0,0,63.1
